Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment
Warmworks,EOH2516,TD7,44.0,Working Part time,Clerical,"12,501 - 16,200",2020-10-02T00:00:00.000Z,Owner-Occupied,5.0,DE,3.0,Yes,,Yes,,No,,No,,No,,No,,Yes,,No,,No,,No,,05/05/2021,Warmworks,House,End-Terrace,Rural,1945-1964,E,2.0,2.0,2.0,98.9,5.0,3.0,5.0,2.5,Cavity_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,Electric - Direct,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,5.8,67.0,17615.0,3937.0,0.0,50.0,3.81,Yes,No,Yes,No,ASHP,,,,,,836.64,18.0,5.0,Yes,,,09/08/2021,Everwarm,ASHP,,Mitsubishi,PUZ-WM85VAA,8.5,R32,0.0,Water_New,200.0,,1.0,11.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,8575.73,3572.208,1610.23,2976.33,,,,,,,2.0,0.0,
Warmworks,EOH2133,TD1,40.0,Working Full time (>30hrs),Semi and unskilled manual worker,Prefer not to say,2020-10-06T00:00:00.000Z,Rented (Social),1.0,DE,2.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,Social housing referral,30/10/2020,Warmworks,Flat,Flat,Suburban,1945-1964,D,2.0,1.0,1.0,68.92,3.0,2.0,3.0,,Cavity_Insulated,Solid,Pitched,Double,,,Electric - Storage,None,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,5.0,104.0,9994.0,2697.0,156.0,50.0,3.58,Yes,No,Yes,Yes,ASHP,,,,,,589.0,14.0,,Yes,,,20/01/2021,TK Murray,ASHP,,Mitsubishi,PUHZ-W50VHA2,5.0,R410A,0.0,Water_New,150.0,,1.0,7.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,7655.16,3508.27,1610.23,1894.03,,,,,,,2.0,0.0,
OVO,EOH2959,KT18,68.0,Retired,Pensioner,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),10.0,DE,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,D,1.0,0.0,1.0,47.0,2.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.664,36.0,5525.0,1798.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,24/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,None,None,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Warmworks,EOH2943,EH4,43.0,Working Full time (>30hrs),Professional,"40,001 - 50,000",2020-08-09T00:00:00.000Z,Owner-Occupied,11.0,AB,1.0,Yes,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,26/04/2021,Warmworks,House,End-Terrace,Suburban,1945-1964,D,1.0,0.0,2.0,78.57,5.0,3.0,5.0,2.65,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,1.0,1.0,No,No,,,,,,,,,,Yes with additional measures,No,Yes with additional measures,Yes,HT_ASHP,,,,,,,,,No,Economic_RunningCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0425,MK5,57.0,Working Full time (>30hrs),Professional,"50,001+",2020-08-01T00:00:00.000Z,Owner-Occupied,19.0,AB,3.0,Yes,,Yes,,Yes,I looked at a heat pump to replace my central heating boiler and provide air conditioning.  The expense was too much.,No,,Yes,,Yes,Ive thought about solar panels but not happy with the way they look.,Yes,,No,,No,Our boiler is approximately 15 years old and I also would like to relocate it from the kitchen to the toilet or garage.  Thats the reason I was considering an air pump to replace it.,,,02/03/2021,Retrofitworks,House,Detached,Suburban,1991-2000,,2.0,0.0,2.0,167.69,8.0,5.0,8.0,2.5,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,170,0.0,1.0,1.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH2143,TN31,58.0,Unemployed,Unemployed/Benefits,"0 - 12,500",2020-08-14T00:00:00.000Z,Owner-Occupied,9.0,DE,4.0,Yes,,Yes,"I think it would be great if this property, which is a typical example of the poorly insulated building practice of its period (1969/70 - an era where residents were expected to consume huge amounts of cheap fossil fuel) could be made into an example of modern best renewable practice. Of course it would make the property more future proof, and that would be great - but I also see it as payback. I can remember as a boy that my mother would run 5 electric radiators 24/7 as well a coal fire to heat this house in winter back in the 1970s when fuel was cheap. And that was all playing its part in todays climate problems. 40 years on I run just the 1 radiator at the minimum level I can put up with and wear sometimes 5 layers of clothing to try and keep warm. It would actually be rather nice instead to be comfortable, but helping save the planet as well.",Yes,"As already outlined, there is *no* central heating system in the property, and this is a situation that badly needs to be addressed, but in a sustainable way (please NOTE that in one of the earlier questions you asked what the system was, but there was no option to say there was none, so I was forced to tick boiler even though there is *no* boiler).\nI had not properly realised, until researching it during the lockdown period, how far heat pumps have now advanced compared to solar electricity generation, and how they can provide a total solution for space and water heating, and even cooling in summer. Now that I realise how their use has progressed around the world (e.g. Canada) I am convinced they are a good solution for my property, and something that should be encouraged nationally.",Yes,"Like many people during the Coronavirus situation, I have been using this enforced isolation to try to improve the property, but lacking any resources to pay contractors, have been limited to tasks such as decorating that I can undertake myself. But the heating of the property is a very urgent situation, as it is effectively unliveable in winter. Since the primary heating has always had to be by plug-in radiators, to heat the property to any degree of comfort would be unaffordably expensive and also environmentally damaging. But without such heating there are frequent occurrances of condensation, mould and mildew as well as the adverse effect on my comfort and wellbeing of being deprived of the use of the unheated rooms. These issues have become increasingly severe in the 9 years I have lived in the property, but on the positive side there are now renewable technologies available that were not a decade ago, and it would be ideal to go down that route if at all possible.",Yes,"Given that I am currently in receipt of Universal Credit and have no savings, it is simply impossible to install a renewable heating system any other way, placing me in effective fuel poverty and with the most expensive heating system possible (plug-in electric). Each year I have hated the arrival of cold winter months, knowing there is no sensible way to heat the house - and of course I have noticed, since moving to Rye from London 9 years ago, that the temperatures in the countryside are distinctly lower in winter than they are in cities.\nSo in short, it is both the fact that the property has no central heating (which I lack the means to install) AND the fact that a renewable system would reduce the running costs to close to zero, that makes a free heat pump system something that be quite transformative for me and an immense help .",Yes,"I think one of the most intruiging features of heat pumps - which adds to my interest in installing one, but I think its overlooked and important anyway -  is the ability to cool in summer as well as heat in winter, and to do both of these things renewably (ideally with solar PV to run the compressor). And that is not just a question of comfort - if we fail to address emissions properly, then we will need more cooling during hotter summers, which in turn could be a source of further emissions. As an example of this, a dear friend in London told me this week that during the recent heatwave her partner had brought some plug-in air coolers to her flat - she is currently replacing a boiler, so I recommended she at least consider a heat pump. I couldnt persuade her - largely because she thinks it would probably be forbidden in a leashold flat -  but that conversation focussed my attention even more on how good a solution a heat pump would be for myself, compared to say a biomass boiler. I remember the heatwave of 1976, and the heatwave last week was only a small taste of that, but also a sign of things to come in the future.",Yes,"I think this is an excellent initiative, and I am impressed that OVO is taking a lead with it. I think a project like this, especially if the favourable effects are well-publicised, can do a lot to shape public perceptions, so that we stop thinking of a gas boiler as the normal and something renewable as somehow weird. I am keen to support and take part in it, not only because it would help meet an urgent need for my own house and welfare, but also because aligns with the views I hold on responsibly using resources and protecting the environment for the future.",Yes,"Well its both yes and no! I would very much like to install a heat pump, but see no way to afford it in the forseeable future given my circumstances. I am of course looking very carefully at the Green Homes Grant scheme, but the details of this are very sketchy for now, and I doubt that the support available would cover the cost of the installation, given that there is no existing central heating system to connect to. That is to say, assuming that I would qualify for vouchers to the level of ï¿½10k, the costs of additional insulation measures needed before a heat pump could be installed (cavity insulation, possibly underfloor insulation, double glazing) would themselves be subtracted from the 10k total, leaving insufficient funds for the heat pump itself, which would be more than usually expensive because of the need to retrofit radiators and pipework. So I can foresee that whole route falling through. And of course we do not yet know whether the scheme will be able to be rolled out effectively for all interested applicants and in what timeframe. So I think it highly unlikely that the Green Homes scheme will be of help in this instance - at best it might be a route to a solar water heating installation (helpful of course, but what is desperately needed is renewable space heating as well as water).",Yes,"As already set out, there is no heating system - only plug-in radiators and a fireplace in the living room. These properties (there are 70 identical in the area) were built in a very different era, in 1969, just before the oil price shock, with the expectation that fossil fuels would always be cheap sources of heating, and were fitted with minimal insulation. Central heating was a luxury add-on when they were constructed, but was never installed in the property (it was my mothers house until she died in 2008). The lack of a heating system has become increasingly problematic since I have lived here - in the colder months I have to effectively live in my bedroom on the upper floor as this can be kept warmer by the roof insulation - but the discomfort this has created for me will have been more tolerable if it is now possible to install a system that will not be environmentally harmful.",Yes,"I have touched on this reason above, but it is worth expanding on. It is quite likely that we may face a winter of semi-lockdown with the virus situation, and already we have all probably taken a long hard look at our living conditions in the period we have been confined to our homes. Being of a somewhat  vulnerable age group (there have been many hospitalisations of males in the 55-60 age group) I have been confining myself largely to the house. That is one thing in summer, when the temperature indoors is comfortable. But I dread the prospect of months of semi-isolation in a property with no central heating, no affordable means of heating, and where I am obliged in winter to live largely in one room to keep at all warm. It would make such a difference to enjoy the amenity of a sustainably and comfortably heated house. It would make a very great difference to my life and state of mind.",25/01/2021,Retrofitworks,House,End-Terrace,Suburban,1965-1980,,1.0,0.0,2.0,70.9,4.0,1.0,1.0,2.35,Cavity_No_insulation,Suspended,Pitched,Single,No,Electricity,Electric - Warm air,None,Water,130,0.0,0.0,0.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2212,TD4,44.0,Working Part time,Professional,Prefer not to say,2020-07-22T00:00:00.000Z,Rented (Social),23.0,C2,1.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,REFERRED BY HOUSING ASSOCIATION,28/08/2020,Warmworks,House,Mid-Terrace,Suburban,1945-1964,E,1.0,2.0,2.0,71.5,3.0,2.0,3.0,2.45,Cavity_Insulated,Suspended,Pitched,Double,,Electricity,Electric - Direct,None,Water,Normal (90-130l),0.0,0.0,0.0,No,No,10823.0,,5.0,68.0,10504.0,2697.0,156.0,50.0,3.15,Yes,No,Yes,No,ASHP,,,,,,617.0,14.0,,Yes,,,08/01/2021,TK Murray,ASHP,,Vaillant,VWL 55/3 A 230V,5.0,R410A,0.0,Water_New,150.0,,1.0,8.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,7655.16,3508.27,1610.23,2164.61,,,,,,,1.0,0.0,
E.ON,EOH0358,NE15,55.0,Working Full time (>30hrs),Skilled Manual Worker,Prefer not to say,2020-12-08T00:00:00.000Z,Owner-Occupied,23.0,C2,5.0,YES,,NO,,NO,,NO,,NO,,YES,already looking into heat pumps,NO,,NO,,NO,,NO,,10/02/2021,Phoenix,House,Semi-Detached,Urban,1967 - 1975,,2.0,2.0,2.0,135.0,6.0,2.0,12.0,2.5,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,0.0,No,No,,,7.49,65.16,15052.7,4152.0,637.0,50.0,3.2,Yes,No,Yes,Yes,ASHP,,,Loft Insulation and Barrier,11644.21,750.0,1039.0,14.3,3.8,Yes,,,13/09/2021,Phoenix,ASHP,,Daikin,EDLQ011CAV3,11.0,R410A,,Water_new,300.0,,1.0,6.0,0.0,0.0,None,None,No,0.0,0.0,0.0,Yes,Yes,0.0,0.0,None,no,6364.21,1752.34,,2500.09,,500.0,0.0,0.0,0.0,0.0,2.0,,
Warmworks,EOH1279,EH46,53.0,Working Part time,Skilled Manual Worker,Prefer not to say,2021-06-28T00:00:00.000Z,Rented (Social),20.0,C2,3.0,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,19/07/2021,Warmworks,House,End-Terrace,Suburban,2001+,D,2.0,2.0,2.0,89.6,4.0,3.0,4.0,2.4,Cavity_Insulated,Solid,Pitched,Double,,Electricity,Electric - Storage,Electric - Direct,Water,Large (> 170l),0.0,0.0,0.0,No,No,,,7.0,60.0,9419.0,3623.0,0.0,50.0,3.65,Yes,No,Yes,No,ASHP,,,,,,746.0,14.0,,Yes,,,09/09/2021,TK Murray,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,0.0,Water_New,200.0,,1.0,,11.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,11215.17,3572.208,1610.23,2976.33,,,,,,,2.0,0.0,
E.ON,EOH0443,NE3,,Prefer not to say,Prefer not to say,Prefer not to say,2020-09-24T00:00:00.000Z,Rented (Social),0.9,DE,1.0,NO,,NO,,YES,opportunity to replace elec storage heaters,NO,,YES,lower bills from elec storage heaters,NO,,NO,,NO,,NO,,NO,,11/01/2021,E.ON,Flat,Flat,Suburban,1967 - 1975,,1.0,0.0,1.0,37.6,2.0,1.0,5.0,2.3,Solid_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,80,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.463,65.5,6056.0,1910.0,191.0,,,No,Yes,No,No,GSHP,,,None Required,,14707.5,351.09,14.3,,Yes,,,22/10/2021,Groundheat,GSHP,Shared_Groundloop,Vaillant,20260514,3.0,R410A,900.0,Water_new,100.0,,1.0,5.0,0.0,1.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,11605.06,1702.0,,2701.78,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
